                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75165,                0.60279,                0.99112,                 0.9558,                      1,                  0.995,                0.83891,                0.73853,                  2.543,                 1.0328,              0.0018614,              0.0018614,              0.0018614
                     37,                 0.6853,                0.49914,                0.97596,                0.94897,                      1,                  0.995,                  0.758,                 0.8665,                 2.9131,                 1.1103,              0.0018574,              0.0018574,              0.0018574
                     38,                0.69213,                0.50431,                0.96654,                0.87657,                 0.9476,                0.98794,                0.73293,                0.79925,                 2.6457,                  1.085,              0.0018535,              0.0018535,              0.0018535
                     39,                0.64676,                0.50127,                0.95222,                0.87303,                      1,                  0.995,                0.75185,                0.81404,                 2.1307,                 1.1571,              0.0018495,              0.0018495,              0.0018495
                     40,                0.75917,                0.51984,                0.98762,                0.97693,                      1,                  0.995,                 0.7695,                0.86917,                   1.67,                 1.1843,              0.0018456,              0.0018456,              0.0018456
                     41,                0.68174,                0.52409,                0.95329,                 0.9786,                      1,                  0.995,                0.73829,                0.92241,                 1.2453,                 1.1457,              0.0018416,              0.0018416,              0.0018416
                     42,                0.73764,                0.51257,                0.95701,                0.98841,                      1,                  0.995,                0.76347,                0.81473,                0.94387,                 1.0763,              0.0018376,              0.0018376,              0.0018376
                     43,                0.75227,                0.52532,                0.94826,                0.98425,                      1,                  0.995,                0.80517,                 0.8403,                0.73353,                 1.1086,              0.0018337,              0.0018337,              0.0018337
                     44,                0.74252,                0.47796,                0.98736,                0.92881,                      1,                  0.995,                0.84037,                0.73126,                0.67852,                0.99828,              0.0018297,              0.0018297,              0.0018297
                     45,                0.70126,                0.47807,                0.97473,                0.98887,                      1,                  0.995,                0.79146,                0.74043,                0.73311,                 1.0044,              0.0018258,              0.0018258,              0.0018258
                     46,                0.70463,                0.47895,                0.98074,                0.99101,                      1,                  0.995,                0.78558,                 0.7345,                 1.0141,                 1.0171,              0.0018218,              0.0018218,              0.0018218
                     47,                0.63799,                0.47983,                0.94593,                0.99046,                      1,                  0.995,                0.79447,                0.74283,                  1.338,                 1.0312,              0.0018178,              0.0018178,              0.0018178
                     48,                0.69916,                0.49362,                 1.0094,                0.99186,                      1,                  0.995,                0.85737,                0.65674,                 1.0956,                0.98295,              0.0018139,              0.0018139,              0.0018139
                     49,                0.64819,                0.44572,                0.91908,                0.99142,                      1,                  0.995,                0.85499,                0.69373,                0.79036,                0.97123,              0.0018099,              0.0018099,              0.0018099
                     50,                0.61377,                0.42411,                0.93898,                 0.9942,                      1,                  0.995,                  0.849,                0.60837,                0.61354,                0.94643,               0.001806,               0.001806,               0.001806
                     51,                0.64767,                0.44555,                0.92946,                0.99569,                      1,                  0.995,                0.79918,                 0.6646,                0.49118,                0.98699,               0.001802,               0.001802,               0.001802
                     52,                0.63193,                0.47455,                0.93705,                0.99579,                      1,                  0.995,                0.80723,                0.65545,                0.42231,                 0.9995,               0.001798,               0.001798,               0.001798
                     53,                0.68637,                0.48978,                0.95814,                 0.9943,                      1,                  0.995,                   0.82,                0.67392,                0.47594,                0.98816,              0.0017941,              0.0017941,              0.0017941
                     54,                 0.6077,                0.45655,                0.91367,                0.99364,                      1,                  0.995,                0.83038,                0.71401,                0.56069,                0.98032,              0.0017901,              0.0017901,              0.0017901
                     55,                0.66087,                0.47372,                0.93079,                0.99483,                      1,                  0.995,                0.80823,                0.76084,                0.99276,                 1.0102,              0.0017862,              0.0017862,              0.0017862
                     56,                0.60495,                0.45434,                0.91604,                0.97513,                      1,                  0.995,                0.81052,                0.77809,                 1.6628,                 1.0521,              0.0017822,              0.0017822,              0.0017822
                     57,                0.61204,                 0.4415,                0.93081,                  0.979,                      1,                  0.995,                0.82711,                0.70917,                 2.0852,                 1.0392,              0.0017782,              0.0017782,              0.0017782
                     58,                0.66391,                0.43869,                  0.931,                0.98416,                      1,                  0.995,                0.80892,                0.74167,                 1.7291,                 1.0546,              0.0017743,              0.0017743,              0.0017743
                     59,                0.67437,                0.45712,                0.94905,                0.98739,                      1,                  0.995,                0.79758,                0.81909,                 1.7438,                 1.0867,              0.0017703,              0.0017703,              0.0017703
                     60,                  0.671,                0.44847,                 0.9573,                0.98109,                      1,                  0.995,                0.84388,                0.64904,                 1.5872,                 1.0355,              0.0017664,              0.0017664,              0.0017664
                     61,                0.66047,                0.44071,                0.93151,                0.98918,                      1,                  0.995,                0.84393,                0.64263,                 1.2052,                 1.0215,              0.0017624,              0.0017624,              0.0017624
                     62,                0.68977,                0.47729,                0.99881,                0.98996,                      1,                  0.995,                0.82634,                0.74952,                0.84969,                  1.018,              0.0017584,              0.0017584,              0.0017584
                     63,                0.62829,                0.42722,                0.94236,                0.98939,                      1,                  0.995,                0.82524,                0.71698,                 1.0063,                0.98933,              0.0017545,              0.0017545,              0.0017545
                     64,                0.64123,                0.41481,                0.92371,                 0.9992,                      1,                  0.995,                0.84115,                0.65458,                 1.2244,                0.95585,              0.0017505,              0.0017505,              0.0017505
                     65,                 0.6048,                 0.4288,                0.90468,                0.98922,                0.86667,                0.87787,                 0.7276,                0.72718,                 1.1855,                0.98633,              0.0017466,              0.0017466,              0.0017466
                     66,                0.55514,                0.42971,                 0.8868,                0.99381,                0.86667,                0.87722,                0.71165,                0.74495,                0.75582,                0.98161,              0.0017426,              0.0017426,              0.0017426
                     67,                0.61866,                 0.4264,                0.94327,                  0.995,                0.86667,                0.88748,                0.72246,                0.74506,                0.71778,                0.98528,              0.0017386,              0.0017386,              0.0017386
                     68,                0.56086,                0.41313,                0.89377,                0.99555,                0.86667,                0.89068,                0.70222,                0.76061,                0.77436,                 1.0141,              0.0017347,              0.0017347,              0.0017347
                     69,                0.63256,                0.43128,                0.94485,                0.99582,                0.86667,                0.95605,                0.76165,                0.79765,                0.72739,                 1.0045,              0.0017307,              0.0017307,              0.0017307
                     70,                0.63008,                0.41505,                0.92334,                      1,                0.92916,                0.98237,                 0.7676,                0.83604,                0.66202,                 1.0184,              0.0017268,              0.0017268,              0.0017268
                     71,                0.65282,                0.42485,                0.93427,                      1,                0.93031,                  0.995,                0.78124,                0.75014,                0.60126,                 1.0031,              0.0017228,              0.0017228,              0.0017228
                     72,                0.66336,                0.42472,                0.95047,                      1,                0.92969,                0.99125,                0.81916,                0.76683,                 0.6106,                 1.0198,              0.0017188,              0.0017188,              0.0017188
                     73,                0.62395,                 0.4294,                0.90973,                0.99698,                      1,                  0.995,                 0.8433,                0.72425,                0.45483,                 1.0203,              0.0017149,              0.0017149,              0.0017149
                     74,                0.62034,                0.44708,                0.92511,                0.99499,                      1,                  0.995,                 0.8322,                0.72231,                0.43822,                 1.0285,              0.0017109,              0.0017109,              0.0017109
                     75,                0.57918,                0.42364,                 0.9072,                0.99431,                      1,                  0.995,                0.85455,                0.64718,                  0.424,                0.99737,               0.001707,               0.001707,               0.001707
                     76,                 0.6459,                 0.4638,                0.92778,                0.99222,                      1,                  0.995,                0.86031,                0.58918,                0.41045,                0.96735,               0.001703,               0.001703,               0.001703
                     77,                0.58108,                0.41506,                 0.9174,                0.98891,                      1,                  0.995,                0.85953,                0.66823,                0.48471,                0.99741,               0.001699,               0.001699,               0.001699
                     78,                0.61835,                0.40598,                0.94645,                0.98329,                      1,                  0.995,                0.83921,                 0.6826,                0.50595,                 1.0113,              0.0016951,              0.0016951,              0.0016951
                     79,                0.57872,                0.37318,                0.91587,                0.99358,                      1,                  0.995,                0.85683,                0.66042,                0.38931,                 1.0056,              0.0016911,              0.0016911,              0.0016911
                     80,                0.52575,                0.41237,                0.89638,                0.99619,                      1,                  0.995,                0.86728,                0.60947,                0.35907,                0.99815,              0.0016872,              0.0016872,              0.0016872
                     81,                0.58222,                0.40647,                0.93813,                0.99597,                      1,                  0.995,                0.87328,                0.59013,                0.35972,                0.99182,              0.0016832,              0.0016832,              0.0016832
                     82,                0.58771,                0.40703,                0.91978,                0.99601,                      1,                  0.995,                0.86374,                0.62282,                0.38146,                0.99653,              0.0016792,              0.0016792,              0.0016792
                     83,                0.62309,                0.42462,                0.92556,                0.99567,                      1,                  0.995,                0.85957,                0.62241,                0.39655,                0.98496,              0.0016753,              0.0016753,              0.0016753
                     84,                0.55211,                0.39723,                0.91089,                0.99308,                      1,                  0.995,                0.86524,                0.58414,                0.39832,                0.96866,              0.0016713,              0.0016713,              0.0016713
                     85,                0.61487,                0.44058,                0.93568,                0.99425,                      1,                  0.995,                0.84796,                0.56801,                0.37902,                0.96243,              0.0016674,              0.0016674,              0.0016674
                     86,                0.55053,                0.40041,                0.91415,                0.99572,                      1,                  0.995,                0.85158,                0.59831,                0.36053,                0.98858,              0.0016634,              0.0016634,              0.0016634
                     87,                0.54738,                0.38742,                0.89314,                0.99591,                      1,                  0.995,                0.82854,                0.68964,                0.36578,                 1.0145,              0.0016594,              0.0016594,              0.0016594
                     88,                0.59521,                0.41847,                0.92593,                0.99531,                      1,                  0.995,                0.82911,                0.67544,                0.40213,                0.97918,              0.0016555,              0.0016555,              0.0016555
                     89,                0.60592,                 0.4316,                0.93983,                0.99346,                      1,                  0.995,                0.87259,                0.58367,                0.38832,                0.95089,              0.0016515,              0.0016515,              0.0016515
                     90,                0.67394,                0.43786,                0.94285,                0.99311,                      1,                  0.995,                0.85709,                0.58338,                0.36841,                0.97295,              0.0016476,              0.0016476,              0.0016476
                     91,                0.57465,                0.40931,                0.93036,                0.99259,                      1,                  0.995,                0.81624,                0.69336,                0.39691,                   1.01,              0.0016436,              0.0016436,              0.0016436
                     92,                0.64021,                0.41549,                0.94121,                0.99443,                      1,                  0.995,                0.83167,                0.66224,                0.38707,                0.97434,              0.0016396,              0.0016396,              0.0016396
                     93,                0.64415,                0.41649,                0.92658,                0.99344,                      1,                  0.995,                0.87049,                0.57475,                0.42064,                0.95704,              0.0016357,              0.0016357,              0.0016357
                     94,                0.58422,                0.40637,                0.90334,                0.99287,                      1,                  0.995,                0.85067,                0.61334,                0.39513,                0.98304,              0.0016317,              0.0016317,              0.0016317
                     95,                0.59236,                0.38779,                0.87963,                 0.9956,                      1,                  0.995,                0.85583,                0.58143,                0.35586,                0.97739,              0.0016278,              0.0016278,              0.0016278
                     96,                0.55895,                0.37495,                0.88784,                0.99639,                      1,                  0.995,                0.88503,                 0.5782,                0.34829,                0.95381,              0.0016238,              0.0016238,              0.0016238
                     97,                0.56777,                0.38742,                0.90156,                0.99628,                      1,                  0.995,                0.83864,                0.67063,                0.35238,                0.97155,              0.0016198,              0.0016198,              0.0016198
                     98,                0.55282,                0.37033,                0.88411,                0.99628,                      1,                  0.995,                0.84247,                0.68521,                0.38231,                0.99204,              0.0016159,              0.0016159,              0.0016159
                     99,                0.57498,                0.38814,                 0.8993,                0.99633,                      1,                  0.995,                0.87027,                0.63461,                0.38525,                0.97491,              0.0016119,              0.0016119,              0.0016119
                    100,                0.62022,                0.40872,                0.95398,                0.99632,                      1,                  0.995,                0.88007,                 0.5722,                0.35582,                0.94956,               0.001608,               0.001608,               0.001608
                    101,                0.60765,                0.39111,                0.92533,                0.99632,                      1,                  0.995,                 0.8501,                0.55103,                0.33442,                 0.9448,               0.001604,               0.001604,               0.001604
                    102,                0.58926,                0.41664,                0.94721,                0.99627,                      1,                  0.995,                0.85301,                0.58042,                0.33466,                0.97486,                 0.0016,                 0.0016,                 0.0016
                    103,                0.58725,                0.39379,                 0.9243,                0.99607,                      1,                  0.995,                0.85327,                0.55861,                0.34315,                0.96485,              0.0015961,              0.0015961,              0.0015961
                    104,                0.58279,                0.40464,                0.93707,                0.99625,                      1,                  0.995,                0.87621,                0.53559,                0.32172,                0.92511,              0.0015921,              0.0015921,              0.0015921
                    105,                0.52308,                0.36604,                0.90278,                0.99421,                      1,                  0.995,                0.87816,                0.55858,                0.37308,                 0.9266,              0.0015882,              0.0015882,              0.0015882
                    106,                0.58437,                0.39402,                0.90462,                0.99239,                      1,                  0.995,                0.87442,                0.54207,                0.50491,                0.92963,              0.0015842,              0.0015842,              0.0015842
                    107,                0.54866,                0.39266,                0.91454,                0.99538,                      1,                  0.995,                0.84128,                 0.5708,                0.43188,                0.96163,              0.0015802,              0.0015802,              0.0015802
                    108,                0.50822,                0.35412,                  0.886,                0.99483,                      1,                  0.995,                0.83743,                0.65839,                0.39564,                0.99743,              0.0015763,              0.0015763,              0.0015763
                    109,                0.52246,                 0.3623,                0.90262,                0.99492,                      1,                  0.995,                 0.8254,                0.64602,                0.40969,                0.99564,              0.0015723,              0.0015723,              0.0015723
                    110,                0.53464,                 0.3546,                0.89045,                0.99495,                      1,                  0.995,                0.85696,                0.59772,                0.41261,                0.96634,              0.0015684,              0.0015684,              0.0015684
                    111,                0.56992,                0.38689,                0.91728,                0.99222,                      1,                  0.995,                0.86656,                0.58573,                0.41133,                0.95547,              0.0015644,              0.0015644,              0.0015644
