                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69304,                  0.902,                0.93585,                0.99706,                      1,                  0.995,                0.88323,                0.60845,                0.56486,                0.93508,              0.0018614,              0.0018614,              0.0018614
                     37,                0.70651,                 0.8292,                0.92818,                 0.9971,                      1,                  0.995,                0.84846,                0.63057,                0.56516,                0.93808,              0.0018574,              0.0018574,              0.0018574
                     38,                 0.6262,                0.77193,                0.90502,                0.99674,                      1,                  0.995,                0.84789,                0.64438,                0.58636,                0.93169,              0.0018535,              0.0018535,              0.0018535
                     39,                0.60142,                  0.756,                0.89808,                0.99638,                      1,                  0.995,                0.83501,                0.61236,                0.59407,                0.91984,              0.0018495,              0.0018495,              0.0018495
                     40,                0.63576,                0.75999,                0.90916,                0.99534,                      1,                  0.995,                0.85813,                0.62918,                 0.6092,                0.93678,              0.0018456,              0.0018456,              0.0018456
                     41,                 0.5868,                0.73879,                0.91636,                0.99526,                      1,                  0.995,                0.82023,                0.72652,                 0.6179,                0.95614,              0.0018416,              0.0018416,              0.0018416
                     42,                 0.6697,                0.75046,                0.90468,                0.99591,                      1,                  0.995,                 0.8454,                0.64947,                0.56827,                0.93409,              0.0018376,              0.0018376,              0.0018376
                     43,                0.64416,                0.73073,                0.89639,                0.99622,                      1,                  0.995,                0.83877,                0.62707,                0.50799,                0.93755,              0.0018337,              0.0018337,              0.0018337
                     44,                0.61281,                0.69913,                0.91056,                0.99621,                      1,                  0.995,                0.83549,                0.67823,                0.53156,                0.96489,              0.0018297,              0.0018297,              0.0018297
                     45,                0.66324,                0.70343,                  0.914,                0.99564,                      1,                  0.995,                 0.8364,                0.66584,                0.56921,                0.95694,              0.0018258,              0.0018258,              0.0018258
                     46,                0.65194,                0.72204,                0.92488,                0.99517,                      1,                  0.995,                0.87741,                0.61038,                0.67523,                0.95028,              0.0018218,              0.0018218,              0.0018218
                     47,                0.60912,                0.70535,                0.91815,                0.99563,                      1,                  0.995,                0.85701,                0.61175,                0.57745,                0.94024,              0.0018178,              0.0018178,              0.0018178
                     48,                0.64402,                   0.71,                0.93879,                0.99601,                      1,                  0.995,                0.80993,                0.67438,                0.56256,                 0.9473,              0.0018139,              0.0018139,              0.0018139
                     49,                0.65048,                0.65775,                0.91678,                0.99625,                      1,                  0.995,                0.77742,                0.76334,                0.64534,                0.96533,              0.0018099,              0.0018099,              0.0018099
                     50,                0.60249,                0.63111,                0.92886,                0.99605,                      1,                  0.995,                0.83389,                0.66572,                0.62998,                0.93755,               0.001806,               0.001806,               0.001806
                     51,                0.57762,                0.62195,                0.89145,                0.99566,                      1,                  0.995,                0.84823,                0.61698,                0.58823,                 0.9374,               0.001802,               0.001802,               0.001802
                     52,                0.62199,                0.63216,                0.91662,                0.98688,                      1,                  0.995,                0.82107,                0.65587,                0.65724,                0.95713,               0.001798,               0.001798,               0.001798
                     53,                0.60166,                0.63413,                0.91044,                0.95044,                      1,                  0.995,                  0.823,                0.73063,                 1.0208,                0.98266,              0.0017941,              0.0017941,              0.0017941
                     54,                0.62665,                0.61999,                0.89854,                0.98272,                      1,                  0.995,                0.81102,                0.70248,                 1.1005,                0.96612,              0.0017901,              0.0017901,              0.0017901
                     55,                 0.6308,                0.63473,                0.89795,                0.99044,                      1,                  0.995,                0.83488,                 0.6768,                0.86152,                0.95525,              0.0017862,              0.0017862,              0.0017862
                     56,                  0.578,                0.61253,                 0.9063,                0.99556,                      1,                  0.995,                0.81534,                0.70195,                 0.6262,                0.94881,              0.0017822,              0.0017822,              0.0017822
                     57,                0.57704,                0.60324,                0.90939,                0.99638,                      1,                  0.995,                0.79867,                0.72355,                0.55369,                0.96104,              0.0017782,              0.0017782,              0.0017782
